SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
402468,0,Cash loans,F,N,N,3,162000.0,1288350.0,37800.0,1125000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.002042,-16171,-5273,-1489.0,-4270,,1,1,0,1,0,0,Core staff,5.0,3,3,MONDAY,12,0,0,0,0,0,0,Kindergarten,0.6113671867936933,0.2998259833911707,,,,0.9821,,,,0.0345,0.0417,,,,0.0055,,,,,0.9821,,,,0.0345,0.0417,,,,0.0057,,,,,0.9821,,,,0.0345,0.0417,,,,0.0056,,,,block of flats,0.0069999999999999,"Stone, brick",No,2.0,0.0,2.0,0.0,-1294.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
228691,0,Cash loans,F,N,Y,0,135000.0,552249.0,33016.5,499500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0096569999999999,-19397,365243,-1614.0,-2928,,1,0,0,1,0,0,,2.0,2,2,FRIDAY,11,0,0,0,0,0,0,XNA,,0.6974294250354584,0.6940926425266661,0.2691,0.1636,0.9866,0.8164,0.0573,0.28,0.2414,0.3333,0.375,0.1495,0.2118,0.273,0.0347,0.0,0.2742,0.1698,0.9866,0.8236,0.0578,0.282,0.2414,0.3333,0.375,0.1529,0.2314,0.2844,0.035,0.0,0.2717,0.1636,0.9866,0.8189,0.0577,0.28,0.2414,0.3333,0.375,0.1521,0.2155,0.2779,0.0349,0.0,reg oper spec account,block of flats,0.2461,Panel,No,1.0,0.0,1.0,0.0,-619.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
357112,0,Cash loans,M,N,N,0,225000.0,1325475.0,56290.5,1125000.0,Other_B,Commercial associate,Secondary / secondary special,Married,House / apartment,0.072508,-16539,-3237,-6789.0,-76,,1,1,0,1,0,0,Laborers,2.0,1,1,THURSDAY,18,0,0,0,0,0,0,Industry: type 11,,0.565542382382532,0.4031416766587513,0.2948,0.1536,0.9806,0.7348,0.4144,0.48,0.2069,0.4583,0.5,0.0,0.2387,0.2881,0.0077,0.01,0.3004,0.1594,0.9806,0.7452,0.4181,0.4834,0.2069,0.4583,0.5,0.0,0.2608,0.3001,0.0078,0.0106,0.2977,0.1536,0.9806,0.7383,0.417,0.48,0.2069,0.4583,0.5,0.0,0.2428,0.2932,0.0078,0.0102,reg oper account,block of flats,0.2304,Panel,No,0.0,0.0,0.0,0.0,-2004.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0
330208,0,Cash loans,F,N,N,0,157500.0,354276.0,13486.5,292500.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.020246,-22360,365243,-9251.0,-2615,,1,0,0,1,0,0,,1.0,3,3,TUESDAY,11,0,0,0,0,0,0,XNA,0.6537818702479988,0.1677067651651594,0.4902575124990026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
195162,0,Cash loans,F,Y,Y,0,180000.0,785398.5,31275.0,702000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.025164,-22020,365243,-4640.0,-4648,3.0,1,0,0,1,0,0,,2.0,2,2,MONDAY,9,0,0,0,0,0,0,XNA,,0.6503422443976294,0.7076993447402619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
187099,0,Revolving loans,F,Y,N,0,112500.0,247500.0,12375.0,247500.0,Unaccompanied,Commercial associate,Higher education,Married,Municipal apartment,0.010006,-15855,-112,-3772.0,-4377,1.0,1,1,0,1,0,0,Laborers,2.0,2,2,THURSDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.5289683595214539,0.7316495633536951,0.5744466170995097,0.0186,,0.9841,0.7824,,0.0,0.1034,0.0417,0.0833,0.0512,0.0151,0.0097,0.0,0.0,0.0189,,0.9841,0.7909,,0.0,0.1034,0.0417,0.0833,0.0524,0.0165,0.0101,0.0,0.0,0.0187,,0.9841,0.7853,,0.0,0.1034,0.0417,0.0833,0.0521,0.0154,0.0098,0.0,0.0,reg oper account,block of flats,0.0116,Wooden,No,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
435648,0,Revolving loans,F,N,N,1,157500.0,135000.0,6750.0,135000.0,Unaccompanied,State servant,Higher education,Married,With parents,0.006629,-9172,-351,-1802.0,-1202,,1,1,0,1,0,0,Accountants,3.0,2,2,MONDAY,7,0,0,0,1,1,0,Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-141.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
275674,0,Cash loans,F,N,Y,0,90000.0,497520.0,33376.5,450000.0,Unaccompanied,State servant,Higher education,Married,Office apartment,0.0066709999999999,-19502,-4911,-10290.0,-3050,,1,1,1,1,1,0,Core staff,2.0,2,2,TUESDAY,12,0,0,0,0,1,1,Government,,0.3634868878225933,0.7826078370261895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1495.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
340058,0,Cash loans,F,N,Y,0,180000.0,472500.0,44991.0,454500.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,0.011703,-19885,-11721,-4.0,-3406,,1,1,0,1,0,0,High skill tech staff,2.0,2,2,SATURDAY,17,0,0,0,0,0,0,Construction,0.8806154529908494,0.7712621071302364,0.7898803468924867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1159.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,5.0
289243,0,Cash loans,M,Y,N,0,270000.0,509922.0,52380.0,472500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792,-18146,-6045,-1135.0,-1681,9.0,1,1,0,1,0,0,Managers,2.0,2,2,FRIDAY,12,0,0,0,0,0,0,Self-employed,,0.6528740130510795,0.7490217048463391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1832.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,2.0
311945,1,Cash loans,F,N,N,0,103500.0,418500.0,12730.5,418500.0,Unaccompanied,Pensioner,Higher education,Widow,Municipal apartment,0.02461,-22430,365243,-10730.0,-3978,,1,0,0,1,1,0,,1.0,2,2,WEDNESDAY,16,0,0,0,0,0,0,XNA,,0.6908042078756911,0.4956658291397297,,0.0893,0.9851,0.7959999999999999,0.0354,0.16,0.1379,0.3333,0.375,0.0981,0.1219,0.1479,,0.0,,0.0926,0.9851,0.804,0.0357,0.1611,0.1379,0.3333,0.375,0.1003,0.1331,0.1541,,0.0,,0.0893,0.9851,0.7987,0.0356,0.16,0.1379,0.3333,0.375,0.0998,0.124,0.1506,,0.0,reg oper account,block of flats,0.1163,Panel,No,0.0,0.0,0.0,0.0,-279.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,2.0,7.0
212393,1,Cash loans,F,N,Y,0,184500.0,549882.0,16209.0,459000.0,Family,Pensioner,Secondary / secondary special,Widow,House / apartment,0.003069,-20839,365243,-6290.0,-3999,,1,0,0,1,0,0,,1.0,3,3,SATURDAY,13,0,0,0,0,0,0,XNA,,0.2391838341943044,0.0564751797291575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-862.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
